TRACT,Geographic Area Name_x,Poverty Level_Original_Value,Food Stamps_Original_Value,Disability under 5 years_Original_Value,Total population 5 years and over_Original_Value,Speak English less than very well_Original_Value,Other than english_Original_Value,Spanish_Original_Value,Indo-European languages_Original_Value,Asian and Pacific Island languages_Original_Value,Other languages_Original_Value,Naturalized U.S. citizen_Original_Value,Non U.S. citizen_Original_Value,Foster Children_Original_Value,Education Level (Highscool Degree Only or Below)_Original_Value,Pregancy_Original_Value,Low BirthWeights_Original_Value,Unemployment_Original_Value,Uninsured_Original_Value,Age below 5 Years_Original_Value,Population 0-5_Original_Value,Free Lunch Students_Original_Value,"Low Income Tract (1=yes, 0=no)_Original_Value",Food Dessert_Original_Value,No Vehicle_Original_Value,Zip Code_Original_Value,Divorced_Original_Value,Seperated_Original_Value,Unnamed: 0.1,Geographic Area Name_y,Zip Code,Poverty Level,Food Stamps,Disability under 5 years,Total population 5 years and over,Speak English less than very well,Other than english,Spanish,Indo-European languages,Asian and Pacific Island languages,Other languages,Naturalized U.S. citizen,Non U.S. citizen,Foster Children,Education Level (Highscool Degree Only or Below),Pregancy,Low BirthWeights,Unemployment,Uninsured,Divorced,Seperated,Age below 5 Years,Population 0-5,Free Lunch Students,"Low Income Tract (1=yes, 0=no)",Food Dessert,No Vehicle,Foreign Born & Disadvantaged,Income Constrained,ECS Screening,Key,Health Zone,Name
12031016200,"Census Tract 162, Duval County, Florida",521,88,5,2159,685,876,602,26,248,0,108,674,14,552,101,19,69,568,149,250,,1,567.1222409,240,32216,312.34,38.8,147,"Census Tract 162, Duval County, Florida",32216,26,18,100,20,78,44,60,7,50,1,13,100,15,36,48,16,14,54,23,15,16,21,,100,18,54,43,36,43,,2,162
12031016300,"Census Tract 163, Duval County, Florida",668,153,0,2013,351,499,259,27,149,64,62,258,0,473,43,15,58,297,211,254,,1,641.1175061,91,32217,298.751,31.711,148,"Census Tract 163, Duval County, Florida",32217,34,31,1,19,41,25,26,7,31,37,8,41,1,30,21,13,11,28,22,12,23,22,,100,20,21,22,34,25,,3,163
12031016400,"Census Tract 164, Duval County, Florida",629,44,0,5516,107,502,183,237,82,0,242,110,25,333,20,29,191,899,270,290,,0,1002.53335,152,32207,601.75,57.768,149,"Census Tract 164, Duval County, Florida",32207,32,10,1,51,13,25,19,53,17,1,28,18,26,20,10,26,40,86,49,21,30,25,,0,31,35,33,23,25,,2,164
12031016500,"Census Tract 165, Duval County, Florida",529,112,0,5096,289,744,220,68,71,385,439,165,0,384,66,28,154,627,254,320,552,0,389.1046427,127,32207,535.788,44.28,150,"Census Tract 165, Duval County, Florida",32207,27,23,1,47,34,38,23,16,15,100,49,27,1,24,31,25,32,60,43,17,28,28,68,0,13,29,36,20,32,,2,165
12031016601,"Census Tract 166.01, Duval County, Florida",1035,224,0,5572,785,1575,1252,165,140,18,140,1016,10,1263,37,75,229,1039,416,453,,1,3641.380352,466,32216,851.916,203.073,151,"Census Tract 166.01, Duval County, Florida",32216,53,45,1,51,90,79,100,37,29,11,16,100,11,86,18,67,48,100,71,73,45,40,,100,100,100,76,77,60,,2,166.01
12031016603,"Census Tract 166.03, Duval County, Florida",318,32,0,3198,180,620,167,248,48,157,240,81,0,215,42,12,142,298,157,199,,0,457.8871275,62,32217,464.96,55.214,152,"Census Tract 166.03, Duval County, Florida",32217,16,7,1,29,21,31,17,55,11,90,27,14,1,12,20,10,30,28,37,21,17,17,,0,15,15,18,10,20,,3,166.03
12031016604,"Census Tract 166.04, Duval County, Florida",775,144,0,4330,402,995,543,253,144,55,450,262,0,458,69,15,109,580,150,219,,0,1498.768644,135,32217,533.899,69.138,153,"Census Tract 166.04, Duval County, Florida",32217,39,29,1,40,46,50,54,56,30,32,50,42,1,29,33,13,22,55,43,25,17,19,,0,46,31,39,29,29,,3,166.04
12031016711,"Census Tract 167.11, Duval County, Florida",243,7,0,3931,103,462,35,104,157,166,247,142,0,157,60,20,75,113,208,268,,0,285.9435747,9,32257,270.914,0,154,"Census Tract 167.11, Duval County, Florida",32257,12,2,1,36,13,23,4,24,32,95,28,23,1,8,29,17,15,10,20,1,23,23,,0,9,3,16,5,15,,3,167.11
12031016722,"Census Tract 167.22, Duval County, Florida",637,348,0,7556,1336,2307,1010,1141,124,32,1013,956,0,795,134,61,169,1120,565,699,296,0,1638.678662,163,32257,514.685,260.6,155,"Census Tract 167.22, Duval County, Florida",32257,32,69,1,69,100,100,100,100,26,19,100,100,1,53,63,55,35,100,41,93,61,63,37,0,50,37,86,43,48,,3,167.22
12031016724,"Census Tract 167.24, Duval County, Florida",712,54,0,5049,610,1238,673,452,91,22,554,444,40,503,52,44,224,817,239,291,407,1,1325.857883,200,32241,707.746,130.26,156,"Census Tract 167.24, Duval County, Florida",32241,36,12,1,46,70,62,67,100,19,14,62,70,41,32,25,39,47,78,58,47,26,25,50,100,40,45,57,42,41,,3,167.24
