Census Tract #,Latitude,Longitude,Key
26,30.3272925,-81.6933183,1
25.02,30.3132677,-81.7226262,1
25.01,30.3158643,-81.7085969,1
24,30.2734733,-81.7051903,1
23,30.2826914,-81.7145385,1
22,30.2929776,-81.7059131,1
21.02,30.3019349,-81.6959386,1
21.01,30.3094236,-81.7028216,1
16,30.3447181,-81.6678811,1
15,30.3561218,-81.6707568,1
14,30.3752097,-81.6656409,1
13,30.3585493,-81.6576284,1
12,30.3471021,-81.653375,1
11,30.3395855,-81.6522836,1
10,30.3316498,-81.651717,1
8,30.3133055,-81.6576334,1
7,30.2870913,-81.6578323,1
6,30.3028846,-81.6373406,1
3,30.350333,-81.631155,1
2,30.3622768,-81.630039,1
Wingate,30.436882,-81.710305,1
Rhoda Martin,30.284623,-81.392039,1
Northside G&H,30.354239,-81.670858,1
For Your Child Only Victory Land,30.381699,-81.69876,1
Superior Christian Academy,30.333782,-81.70961,1
Methodist Children's Village,30.285145,-81.779888,1
Lane Ave CDC,30.290353,-81.755833,1
San Carlos Learning Center,30.320184,-81.684422,1
Westside,30.343899,-81.710636,1
Northside,30.354258,-81.670858,1
